Time,LC5
0,-2.221352081
0.052631575,-2.069309062
0.10526315,-1.005007914
0.157894725,-1.005007914
0.2105263,-0.700921874
0.263157875,-2.373395101
0.31578945,0.211336249
0.368421025,-1.765223017
0.4210526,1.123594377
0.473684175,1.579723436
0.52631575,-0.244792811
0.578947325,-1.461136978
0.6315789,-2.069309062
0.684210475,-1.765223017
0.73684205,-1.005007914
0.789473625,2.0358525
0.8421052,1.275637396
0.894736775,2.18789552
0.94736835,3.404239687
0.999999925,5.380798958
1.0526315,0.515422293
1.105263075,0.363379273
1.15789465,-0.244792811
1.210526225,0.971551352
1.2631578,-0.092749791
1.315789375,-1.461136978
1.36842095,-0.700921874
1.421052525,-0.244792811
1.4736841,-0.244792811
1.526315675,0.211336249
1.57894725,2.18789552
1.631578825,-1.917266042
1.6842104,-1.613179998
1.736841975,2.0358525
1.78947355,1.275637396
1.842105125,-2.677481145
1.8947367,0.059293229
1.947368275,-0.548878855
1.99999985,0.971551352
2.052631425,0.363379273
2.105263,-1.157050938
2.157894575,1.123594377
2.21052615,1.123594377
2.263157725,-1.309093958
2.3157893,0.515422293
2.368420875,-0.092749791
2.42105245,-0.092749791
2.473684025,0.515422293
2.5263156,1.123594377
2.578947175,-1.005007914
2.63157875,0.515422293
2.684210325,1.123594377
2.7368419,0.819508333
2.789473475,0.515422293
2.84210505,2.644024584
2.894736625,-1.005007914
2.9473682,0.667465313
2.999999775,-0.39683583
3.05263135,1.731766456
3.105262925,-2.373395101
3.1578945,0.667465313
3.210526075,-2.069309062
3.26315765,-0.700921874
3.315789225,-1.309093958
3.3684208,0.667465313
3.421052375,-1.309093958
3.47368395,0.819508333
3.526315525,-0.092749791
3.5789471,-1.157050938
3.631578675,0.211336249
3.68421025,-1.917266042
3.736841825,0.819508333
3.7894734,2.339938539
3.842104975,1.427680416
3.89473655,-0.39683583
3.947368125,1.731766456
3.9999997,2.18789552
4.052631275,3.404239687
4.10526285,-0.092749791
4.157894425,2.491981564
4.210526,0.819508333
4.263157575,1.88380948
4.31578915,2.339938539
4.368420725,1.123594377
4.4210523,2.948110623
4.473683875,-0.852964894
4.52631545,2.491981564
4.578947025,0.971551352
4.6315786,3.708325727
4.684210175,-0.548878855
4.73684175,1.579723436
4.789473325,2.18789552
4.8421049,-0.700921874
4.894736475,-1.005007914
4.94736805,1.579723436
4.999999625,0.059293229
5.0526312,-1.461136978
5.105262775,-0.092749791
5.15789435,0.059293229
5.210525925,-1.005007914
5.2631575,-0.852964894
5.315789075,0.819508333
5.36842065,0.819508333
5.421052225,0.211336249
5.4736838,2.796067603
5.526315375,0.819508333
5.57894695,1.427680416
5.631578525,-1.917266042
5.6842101,2.796067603
5.736841675,0.667465313
5.78947325,0.819508333
5.842104825,-3.285653229
5.8947364,1.579723436
5.947367975,1.123594377
5.99999955,2.796067603
6.052631125,-0.244792811
6.1052627,-1.765223017
6.157894275,2.491981564
6.21052585,2.0358525
6.263157425,2.491981564
6.315789,2.796067603
6.368420575,2.18789552
6.42105215,2.339938539
6.473683725,-0.092749791
6.5263153,1.427680416
6.578946875,0.667465313
6.63157845,1.123594377
6.684210025,-1.157050938
6.7368416,0.363379273
6.789473175,-2.069309062
6.84210475,3.556282707
6.894736325,0.819508333
6.9473679,0.211336249
6.999999475,2.491981564
7.05263105,3.100153643
7.105262625,0.819508333
7.1578942,1.123594377
7.210525775,1.123594377
7.26315735,0.819508333
7.315788925,2.339938539
7.3684205,2.18789552
7.421052075,-1.309093958
7.47368365,0.819508333
7.526315225,0.059293229
7.5789468,2.18789552
7.631578375,0.819508333
7.68420995,1.579723436
7.736841525,-1.005007914
7.7894731,4.62058385
7.842104675,-0.548878855
7.89473625,0.211336249
7.947367825,-0.092749791
7.9999994,2.0358525
8.052630975,-0.39683583
8.10526255,2.644024584
8.157894125,1.731766456
8.2105257,-0.852964894
8.263157275,0.363379273
8.31578885,-0.852964894
8.368420425,2.18789552
8.421052,-1.917266042
8.473683575,-1.157050938
8.52631515,2.948110623
8.578946725,2.18789552
8.6315783,-0.700921874
8.684209875,-0.092749791
8.73684145,-1.461136978
8.789473025,1.275637396
8.8421046,0.515422293
8.894736175,3.100153643
8.94736775,1.579723436
8.999999325,1.275637396
9.0526309,1.579723436
9.105262475,1.123594377
9.15789405,-0.244792811
9.210525625,1.427680416
9.2631572,0.211336249
9.315788775,-0.244792811
9.36842035,0.819508333
9.421051925,-0.548878855
9.4736835,1.275637396
9.526315075,0.211336249
9.57894665,-2.373395101
9.631578225,0.363379273
9.6842098,1.427680416
9.736841375,-0.548878855
9.78947295,1.88380948
9.842104525,-0.092749791
9.8947361,-1.613179998
9.947367675,-2.373395101
9.99999925,1.427680416
10.05263083,-1.613179998
10.1052624,-0.548878855
10.15789398,-0.092749791
10.21052555,1.123594377
10.26315713,0.667465313
10.3157887,2.18789552
10.36842028,-1.613179998
10.42105185,0.667465313
10.47368343,0.211336249
10.526315,0.971551352
10.57894658,0.667465313
10.63157815,0.059293229
10.68420973,-2.525438121
10.7368413,1.123594377
10.78947288,-0.700921874
10.84210445,-0.852964894
10.89473603,0.971551352
10.9473676,-0.244792811
10.99999918,-1.461136978
11.05263075,0.363379273
11.10526233,-1.765223017
11.1578939,-0.852964894
11.21052548,0.971551352
11.26315705,-2.221352081
11.31578863,0.059293229
11.3684202,-2.069309062
11.42105178,-0.39683583
11.47368335,-0.852964894
11.52631493,-0.700921874
11.5789465,0.211336249
11.63157808,-1.157050938
11.68420965,-1.917266042
11.73684123,-1.461136978
11.7894728,-1.005007914
11.84210438,0.059293229
11.89473595,0.667465313
11.94736753,0.059293229
11.9999991,-0.244792811
12.05263068,-0.092749791
12.10526225,-0.39683583
12.15789383,0.667465313
12.2105254,-0.092749791
12.26315698,-2.069309062
12.31578855,0.971551352
12.36842013,0.667465313
12.4210517,-1.005007914
12.47368328,-1.765223017
12.52631485,0.211336249
12.57894643,-1.765223017
12.631578,-0.244792811
12.68420958,-1.309093958
12.73684115,-0.548878855
12.78947273,-1.309093958
12.8421043,-1.765223017
12.89473588,2.18789552
12.94736745,-2.373395101
12.99999903,-2.677481145
13.0526306,-1.005007914
13.10526218,0.059293229
13.15789375,-2.221352081
13.21052533,0.667465313
13.2631569,-1.157050938
13.31578848,-18.18586926
13.36842005,-1.005007914
13.42105163,-3.133610205
13.4736832,-1.005007914
13.52631478,0.971551352
13.57894635,-1.613179998
13.63157793,-1.157050938
13.6842095,-1.917266042
13.73684108,-1.461136978
13.78947265,-3.893825308
13.84210423,0.059293229
13.8947358,0.515422293
13.94736738,-1.309093958
13.99999895,-1.005007914
14.05263053,1.579723436
14.1052621,-1.309093958
14.15789368,-1.917266042
14.21052525,0.363379273
14.26315683,2.491981564
14.3157884,-1.005007914
14.36841998,0.059293229
14.42105155,0.211336249
14.47368313,-1.157050938
14.5263147,0.059293229
14.57894628,0.667465313
14.63157785,-1.157050938
14.68420943,0.363379273
14.736841,-1.157050938
14.78947258,1.579723436
14.84210415,-1.005007914
14.89473573,0.667465313
14.9473673,-4.045868332
14.99999888,-0.548878855
15.05263045,1.275637396
15.10526203,-1.309093958
15.1578936,-2.373395101
15.21052518,-0.39683583
15.26315675,0.211336249
15.31578833,-0.548878855
15.3684199,-0.092749791
15.42105148,-1.309093958
15.47368305,-0.39683583
15.52631463,0.515422293
15.5789462,-0.700921874
15.63157778,-0.39683583
15.68420935,-1.461136978
15.73684092,1.88380948
15.7894725,-1.461136978
15.84210407,2.18789552
15.89473565,0.059293229
15.94736722,1.427680416
15.9999988,-1.917266042
16.05263037,0.515422293
16.10526195,-1.157050938
16.15789352,0.515422293
16.2105251,0.515422293
16.26315667,1.731766456
16.31578825,-1.613179998
16.36841982,-0.39683583
16.4210514,0.211336249
16.47368297,2.491981564
16.52631455,-2.981567185
16.57894612,2.339938539
16.6315777,-2.525438121
16.68420927,0.363379273
16.73684085,-2.677481145
16.78947242,1.123594377
16.842104,-1.309093958
16.89473557,-1.005007914
16.94736715,-2.373395101
16.99999872,0.667465313
17.0526303,-0.700921874
17.10526187,-0.852964894
17.15789345,-2.221352081
17.21052502,-0.852964894
17.2631566,-0.852964894
17.31578817,-0.852964894
17.36841975,-1.461136978
17.42105132,-1.157050938
17.4736829,-3.589739269
17.52631447,0.363379273
17.57894605,0.363379273
17.63157762,-1.917266042
17.6842092,-0.852964894
17.73684077,0.211336249
17.78947235,1.275637396
17.84210392,0.059293229
17.8947355,-1.765223017
17.94736707,1.123594377
17.99999865,-0.700921874
18.05263022,0.363379273
18.1052618,-0.852964894
18.15789337,-1.309093958
18.21052495,0.211336249
18.26315652,0.819508333
18.3157881,-1.765223017
18.36841967,-1.461136978
18.42105125,-1.765223017
18.47368282,-0.39683583
18.5263144,-1.157050938
18.57894597,0.363379273
18.63157755,-1.309093958
18.68420912,-0.092749791
18.7368407,-3.285653229
18.78947227,0.971551352
