	0	1	2	3	4	5	6	7	8
0	0.0	0.0	0.0	0.0	1406.0	1429.0	1445.0	1421.0	1363.0
0	0.0	0.0	0.0	0.0	1382.0	1414.0	1433.0	1421.0	1359.0
0	0.0	0.0	0.0	0.0	1367.0	1402.0	1421.0	1410.0	1355.0
0	0.0	0.0	0.0	0.0	1347.0	1378.0	1398.0	1394.0	1339.0
0	0.0	0.0	0.0	0.0	1343.0	1367.0	1390.0	1382.0	1328.0
0	0.0	0.0	0.0	0.0	1332.0	1359.0	1378.0	1375.0	1324.0
0	0.0	0.0	0.0	0.0	1328.0	1355.0	1367.0	1363.0	1316.0
0	0.0	0.0	0.0	0.0	1324.0	1351.0	1363.0	1363.0	1304.0
0	0.0	0.0	0.0	0.0	1316.0	1339.0	1359.0	1355.0	1300.0
0	0.0	0.0	0.0	0.0	1308.0	1328.0	1343.0	1339.0	1277.0
0	0.0	0.0	0.0	0.0	1300.0	1320.0	1339.0	1335.0	1277.0
0	0.0	0.0	0.0	0.0	1296.0	1316.0	1332.0	1320.0	1273.0
0	0.0	0.0	0.0	0.0	1292.0	1312.0	1324.0	1324.0	1265.0
0	0.0	0.0	0.0	0.0	1289.0	1308.0	1320.0	1312.0	1261.0
0	0.0	0.0	0.0	0.0	1285.0	1304.0	1316.0	1304.0	1253.0
0	0.0	0.0	0.0	0.0	1281.0	1296.0	1308.0	1308.0	1246.0
0	0.0	0.0	0.0	0.0	1277.0	1292.0	1308.0	1285.0	1242.0
0	0.0	0.0	0.0	0.0	1269.0	1289.0	1300.0	1292.0	1234.0
0	0.0	0.0	0.0	0.0	1261.0	1285.0	1292.0	1289.0	1226.0
0	0.0	0.0	0.0	0.0	1261.0	1273.0	1253.0	1285.0	1218.0
0	0.0	0.0	0.0	0.0	1250.0	1265.0	1273.0	1273.0	1203.0
0	0.0	0.0	0.0	0.0	1238.0	1253.0	1246.0	1265.0	1187.0
