	0	1	2	3	4	5	6	7	8
0	0.0	0.0	0.0	0.0	1015.0	1011.0	992.0	984.0	914.0
0	0.0	0.0	0.0	0.0	1007.0	1011.0	1000.0	1027.0	960.0
0	0.0	0.0	0.0	0.0	1000.0	1011.0	992.0	980.0	906.0
0	0.0	0.0	0.0	0.0	992.0	1011.0	1035.0	980.0	902.0
0	0.0	0.0	0.0	0.0	976.0	1000.0	1031.0	976.0	894.0
0	0.0	0.0	0.0	0.0	968.0	988.0	992.0	980.0	953.0
0	0.0	0.0	0.0	0.0	968.0	992.0	1015.0	953.0	886.0
0	0.0	0.0	0.0	0.0	960.0	992.0	1011.0	957.0	882.0
0	0.0	0.0	0.0	0.0	957.0	984.0	972.0	957.0	941.0
0	0.0	0.0	0.0	0.0	957.0	980.0	964.0	933.0	941.0
0	0.0	0.0	0.0	0.0	953.0	976.0	960.0	933.0	933.0
0	0.0	0.0	0.0	0.0	949.0	972.0	957.0	910.0	929.0
0	0.0	0.0	0.0	0.0	945.0	968.0	953.0	917.0	925.0
0	0.0	0.0	0.0	0.0	937.0	960.0	976.0	902.0	910.0
0	0.0	0.0	0.0	0.0	937.0	957.0	929.0	902.0	917.0
0	0.0	0.0	0.0	0.0	925.0	953.0	929.0	890.0	910.0
0	0.0	0.0	0.0	0.0	921.0	945.0	960.0	890.0	906.0
0	0.0	0.0	0.0	0.0	914.0	937.0	917.0	882.0	898.0
0	0.0	0.0	0.0	0.0	910.0	933.0	914.0	878.0	894.0
0	0.0	0.0	0.0	0.0	898.0	921.0	937.0	875.0	882.0
0	0.0	0.0	0.0	0.0	894.0	914.0	894.0	855.0	882.0
0	0.0	0.0	0.0	0.0	890.0	910.0	890.0	863.0	878.0
0	0.0	0.0	0.0	0.0	886.0	906.0	921.0	832.0	875.0
0	0.0	0.0	0.0	0.0	882.0	902.0	867.0	851.0	875.0
0	0.0	0.0	0.0	0.0	878.0	902.0	882.0	847.0	871.0
0	0.0	0.0	0.0	0.0	875.0	898.0	914.0	843.0	867.0
0	0.0	0.0	0.0	0.0	867.0	890.0	906.0	835.0	863.0
0	0.0	0.0	0.0	0.0	863.0	886.0	867.0	828.0	855.0
0	0.0	0.0	0.0	0.0	859.0	882.0	863.0	828.0	855.0
0	0.0	0.0	0.0	0.0	855.0	882.0	863.0	828.0	847.0
0	0.0	0.0	0.0	0.0	847.0	875.0	886.0	824.0	843.0
0	0.0	0.0	0.0	0.0	839.0	871.0	843.0	812.0	828.0
0	0.0	0.0	0.0	0.0	835.0	859.0	839.0	816.0	835.0
0	0.0	0.0	0.0	0.0	832.0	859.0	835.0	800.0	832.0
0	0.0	0.0	0.0	0.0	828.0	855.0	832.0	796.0	832.0
0	0.0	0.0	0.0	0.0	828.0	851.0	828.0	789.0	832.0
0	0.0	0.0	0.0	0.0	824.0	847.0	859.0	792.0	828.0
0	0.0	0.0	0.0	0.0	820.0	843.0	820.0	785.0	828.0
0	0.0	0.0	0.0	0.0	816.0	839.0	816.0	781.0	824.0
0	0.0	0.0	0.0	0.0	812.0	835.0	812.0	777.0	824.0
0	0.0	0.0	0.0	0.0	808.0	828.0	808.0	773.0	820.0
0	0.0	0.0	0.0	0.0	804.0	824.0	800.0	769.0	816.0
0	0.0	0.0	0.0	0.0	804.0	820.0	796.0	765.0	812.0
0	0.0	0.0	0.0	0.0	796.0	816.0	796.0	761.0	808.0
0	0.0	0.0	0.0	0.0	792.0	812.0	792.0	761.0	808.0
0	0.0	0.0	0.0	0.0	789.0	812.0	789.0	753.0	808.0
